"2026-04-06T20:53:19","BinanceSquare","OK","Hazaña en la minería Bitcoin: un minero solitario desafía las probabilidades y gana una recompensa de $210.000","Publicado en Binance Square"
"2026-04-06T20:53:26","Telegram","OK","Hazaña en la minería Bitcoin: un minero solitario desafía las probabilidades y gana una recompensa de $210.000","Publicado correctamente"
"2026-04-06T20:54:31","Bluesky","OK","Hazaña en la minería Bitcoin: un minero solitario desafía las probabilidades y gana una recompensa de $210.000","Publicado en Bluesky"
"2026-04-06T21:08:11","BinanceSquare","OK","Minero solitario de Bitcoin desafía la estadística y asegura una fortuna de $210.000","Publicado en Binance Square"
"2026-04-06T21:08:18","Telegram","OK","Minero solitario de Bitcoin desafía la estadística y asegura una fortuna de $210.000","Publicado correctamente"
"2026-04-06T21:09:27","Bluesky","OK","Minero solitario de Bitcoin desafía la estadística y asegura una fortuna de $210.000","Publicado en Bluesky"
"2026-04-06T21:47:46","BinanceSquare","OK","El mercado de opciones de Bitcoin señala una posible caída sustancial","Publicado en Binance Square"
"2026-04-06T21:47:53","Telegram","OK","El mercado de opciones de Bitcoin señala una posible caída sustancial","Publicado correctamente"
"2026-04-06T21:48:58","Bluesky","OK","El mercado de opciones de Bitcoin señala una posible caída sustancial","Publicado en Bluesky"
"2026-04-06T22:14:16","BinanceSquare","OK","Openai insta a una transformación global en fiscalidad y política laboral por la era de la ia","Publicado en Binance Square"
"2026-04-06T22:14:21","Telegram","OK","Openai insta a una transformación global en fiscalidad y política laboral por la era de la ia","Publicado correctamente"
"2026-04-06T22:16:26","Bluesky","OK","Openai insta a una transformación global en fiscalidad y política laboral por la era de la ia","Publicado en Bluesky"
"2026-04-06T23:16:10","BinanceSquare","OK","Artículo de ejemplo","Publicado en Binance Square"
"2026-04-06T23:16:17","Telegram","OK","Artículo de ejemplo","Publicado correctamente"
"2026-04-06T23:18:22","Bluesky","OK","Artículo de ejemplo","Publicado en Bluesky"
"2026-04-07T01:12:11","BinanceSquare","OK","Artículo de ejemplo","Publicado en Binance Square"
"2026-04-07T01:12:17","Telegram","OK","Artículo de ejemplo","Publicado correctamente"
"2026-04-07T01:14:23","Bluesky","OK","Artículo de ejemplo","Publicado en Bluesky"
"2026-04-07T01:19:44","BinanceSquare","OK","Victoria clave para kalshi: tribunal de apelaciones federal dictamina jurisdicción exclusiva de la CFTC sobre mercados de predicción","Publicado en Binance Square"
"2026-04-07T01:21:47","Telegram","OK","Victoria clave para kalshi: tribunal de apelaciones federal dictamina jurisdicción exclusiva de la CFTC sobre mercados de predicción","Publicado correctamente"
"2026-04-07T01:23:52","Bluesky","OK","Victoria clave para kalshi: tribunal de apelaciones federal dictamina jurisdicción exclusiva de la CFTC sobre mercados de predicción","Publicado en Bluesky"
"2026-04-07T01:52:24","BinanceSquare","OK","Jamie dimon advierte: la inteligencia artificial transformará JP Morgan a un ritmo sin precedentes","Publicado en Binance Square"
"2026-04-07T01:53:59","Telegram","OK","Jamie dimon advierte: la inteligencia artificial transformará JP Morgan a un ritmo sin precedentes","Publicado correctamente"
